p_id,show_id
456,5
703,6
1077,3
4268,1
3881,4
2302,1
337,5
1999,6
4010,3
2594,1
2176,1
3062,5
4410,3
531,5
348,5
357,1
2291,6
1609,1
1038,4
2925,1
249,1
1285,4
4084,2
1036,4
4510,4
427,3
3959,4
1026,3
98,3
2174,5
1778,2
2675,3
529,3
922,6
3533,6
2338,3
2530,6
2699,3
3667,5
167,3
387,5
806,2
2740,3
1408,3
3917,1
3792,2
3975,6
4306,3
4771,5
4111,5
4677,1
3387,5
2673,5
485,4
1633,6
129,5
1077,2
3181,5
2484,1
4311,3
2728,2
4172,4
2386,5
3207,1
4241,3
4516,1
52,2
1179,2
1994,2
1541,2
3732,4
788,1
4170,4
3964,1
4305,5
4433,5
71,3
1640,4
2331,6
547,2
4821,2
1368,6
1364,4
4934,4
4222,3
4307,1
1379,1
392,1
2870,3
2278,3
4316,3
2582,5
810,5
3533,6
6,4
3319,6
4789,1
1426,5
1325,5
1693,3
909,6
592,2
2241,3
1851,5
1267,5
2821,5
4696,5
4446,5
845,3
700,6
1491,3
2085,5
2961,2
4374,6
2473,3
2764,4
3065,5
2602,5
3217,2
1657,3
3485,3
574,3
2211,4
3282,5
522,3
1896,5
674,5
202,5
4794,5
1196,3
2054,5
1552,4
4232,1
1278,3
3660,5
66,5
1995,5
3309,4
551,4
3860,2
1944,1
4665,6
4270,2
201,1
2405,3
468,1
4609,1
4454,6
4086,3
2601,2
4745,4
3963,3
3292,5
3671,3
664,6
4942,1
4058,3
3324,2
1301,6
1535,3
2420,5
1275,1
483,1
2806,5
2008,5
1538,5
4599,6
3797,3
4319,1
523,1
2466,3
2811,4
1281,6
4319,6
2147,6
3845,5
2460,6
3390,2
1402,3
392,2
2264,5
730,3
3669,3
2581,4
2126,3
2597,5
1905,5
3457,3
4883,5
4612,3
3105,1
2296,5
536,4
884,3
759,6
2201,5
3388,6
765,2
200,2
2287,6
281,5
628,5
1554,5
332,4
3275,1
1813,3
2997,1
2974,5
2174,1
2786,5
44,3
1942,6
444,2
3410,2
2719,5
3924,4
4558,5
1438,3
331,6
3919,5
592,3
3202,6
1020,3
1149,3
4406,1
102,3
3391,2
1923,5
4449,3
4636,1
712,2
378,3
3642,3
2203,5
513,5
3781,1
421,5
794,6
3696,6
3236,2
3936,2
3045,2
3250,4
1132,3
2942,4
2500,2
1193,5
2089,6
2386,6
654,5
3618,5
3333,2
1774,6
3970,1
4696,3
4612,3
4113,3
571,3
1877,1
3111,5
4214,5
4996,6
4111,3
3881,1
4207,4
154,1
3161,3
3069,3
3633,3
766,2
3866,6
1036,5
3623,4
376,1
3923,1
824,3
4175,4
2903,1
1979,2
1496,1
3989,6
1742,1
3551,3
2872,3
4897,1
1091,1
1850,5
2027,2
779,5
4776,3
3307,3
492,1
4367,6
3354,6
4200,5
278,1
3359,5
3980,3
3191,1
646,1
2767,2
4741,5
188,2
1252,5
1916,6
2643,3
1838,6
2256,2
3884,5
213,6
2177,4
2899,1
3086,4
3351,5
213,6
437,1
4356,2
893,1
188,3
1538,6
4670,6
2409,1
3365,1
2745,5
132,2
224,5
2000,2
4793,2
1306,5
2803,6
4547,5
1238,3
4732,4
2215,5
3306,5
722,2
460,4
2125,5
3963,2
242,6
4074,5
3942,3
103,1
4222,3
3881,3
3909,5
3781,2
1286,4
4069,5
2789,5
406,5
2982,5
2795,1
4200,4
4508,1
4257,4
566,3
1513,5
2185,6
1624,1
3385,5
820,6
349,3
4499,2
3508,2
2284,2
4246,5
2542,1
1645,5
2682,3
2036,1
231,4
3013,5
4707,4
4028,5
3552,4
3866,3
1657,3
3536,4
1353,4
3677,4
343,3
2253,3
774,2
2661,3
1340,6
3987,2
2263,4
2105,1
145,2
2820,3
2327,4
1205,2
3325,3
3724,4
4628,1
4448,6
661,6
3758,3
2181,4
539,5
1183,3
1856,3
1397,5
1434,5
